Subject,'CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_content','CN_AT_content','CN_AT_content','CN_AT_content','CN_AT_content','CN_AT_content','CN_AT_content','CN_AT_content','CN_AT_content','CN_AT_content','CN_AT_content','CN_AT_content','CN_AT_content','CN_AT_content','CN_AT_content','CN_AT_content','CN_AT_content','CN_AT_content','CN_AT_content','CN_AT_content','CN_AT_content','CN_AT_content','CN_AT_content','CN_AT_content','CN_AT_oven','CN_AT_oven','CN_AT_oven','CN_AT_oven','CN_AT_oven','CN_AT_oven','CN_AT_oven','CN_AT_oven','CN_AT_oven','CN_AT_oven','CN_AT_oven','CN_AT_oven','CN_AT_oven','CN_AT_oven','CN_AT_oven','CN_AT_oven','CN_AT_oven','CN_AT_oven','CN_AT_oven','CN_AT_oven','CN_AT_oven','CN_AT_oven','CN_AT_oven','CN_AT_oven','CN_AT_primary','CN_AT_primary','CN_AT_primary','CN_AT_primary','CN_AT_primary','CN_AT_primary','CN_AT_primary','CN_AT_primary','CN_AT_primary','CN_AT_primary','CN_AT_primary','CN_AT_primary','CN_AT_primary','CN_AT_primary','CN_AT_primary','CN_AT_primary','CN_AT_primary','CN_AT_primary','CN_AT_primary','CN_AT_primary','CN_AT_primary','CN_AT_primary','CN_AT_primary','CN_AT_primary','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival'
Scalar,'0.00','0.00','0.00','0.00','0.00','0.00','0.05','0.05','0.05','0.10','0.10','0.10','0.15','0.15','0.15','0.20','0.20','0.20','0.25','0.25','0.25','0.30','0.30','0.30','0.00','0.00','0.00','0.00','0.00','0.00','0.05','0.05','0.05','0.10','0.10','0.10','0.15','0.15','0.15','0.20','0.20','0.20','0.25','0.25','0.25','0.30','0.30','0.30','0.00','0.00','0.00','0.00','0.00','0.00','0.05','0.05','0.05','0.10','0.10','0.10','0.15','0.15','0.15','0.20','0.20','0.20','0.25','0.25','0.25','0.30','0.30','0.30','0.00','0.00','0.00','0.00','0.00','0.00','0.05','0.05','0.05','0.10','0.10','0.10','0.15','0.15','0.15','0.20','0.20','0.20','0.25','0.25','0.25','0.30','0.30','0.30','0.00','0.00','0.00','0.00','0.00','0.00','0.05','0.05','0.05','0.10','0.10','0.10','0.15','0.15','0.15','0.20','0.20','0.20','0.25','0.25','0.25','0.30','0.30','0.30','0.00','0.00','0.00','0.00','0.00','0.00','0.05','0.05','0.05','0.10','0.10','0.10','0.15','0.15','0.15','0.20','0.20','0.20','0.25','0.25','0.25','0.30','0.30','0.30'
NTrials,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
0.35,2,0,0,1,3,3,0,3,0,1,7,8,7,2,7,3,4,10,8,5,6,5,6,7,0,0,1,0,0,0,2,1,1,1,0,1,2,3,2,4,0,2,10,3,5,7,5,5,0,0,1,0,3,0,1,3,0,0,5,2,1,6,1,0,1,2,5,1,2,3,5,3,3,1,3,7,2,4,4,7,8,1,3,1,3,0,1,2,2,8,6,8,4,7,8,7,7,5,2,0,3,7,1,4,5,3,2,4,2,3,1,2,4,2,5,5,6,4,4,9,0,3,4,3,3,1,5,2,8,0,2,9,0,5,2,4,2,3,5,2,5,3,7,3
0.36,1,1,4,2,7,3,2,6,1,4,6,5,11,8,9,6,3,14,7,6,13,5,11,11,3,2,1,2,1,0,0,2,1,2,0,1,4,1,4,6,4,5,4,3,4,7,7,9,1,3,2,2,2,5,4,2,1,1,9,4,7,10,7,3,7,3,5,4,1,1,4,8,7,2,4,6,3,2,5,6,5,6,3,3,2,1,4,2,4,8,4,11,4,6,5,8,3,1,6,1,4,4,2,6,2,2,4,8,0,3,8,4,7,5,2,5,4,5,4,9,5,3,6,4,7,3,5,4,6,2,3,11,4,11,8,5,7,7,5,7,8,4,7,8
0.37,1,6,5,2,5,7,4,9,5,4,8,17,8,13,7,11,12,11,6,8,12,12,14,9,4,1,0,1,0,3,6,5,7,6,6,3,3,5,3,9,7,5,8,11,2,8,6,9,3,4,3,6,6,3,4,5,4,5,11,6,8,10,5,8,7,0,7,8,7,7,8,9,12,5,0,9,3,6,10,8,7,7,7,8,4,4,7,13,6,6,2,3,6,11,7,6,3,6,2,2,5,10,4,4,8,1,6,8,4,3,6,5,7,6,5,6,7,11,3,12,7,5,6,8,4,13,3,6,11,5,10,15,5,5,8,7,12,11,11,4,11,9,10,11
0.38,5,6,10,5,10,16,10,15,12,8,10,13,13,12,13,10,7,16,11,9,10,14,20,11,4,5,5,7,7,2,8,4,9,10,1,3,7,8,5,13,5,9,8,7,5,11,10,11,5,6,9,5,8,7,5,11,5,9,14,11,16,11,8,7,6,5,7,8,9,13,9,17,10,9,9,10,4,10,9,8,6,5,9,7,5,10,6,8,6,9,8,7,11,13,12,8,9,9,5,3,3,5,3,9,5,4,4,6,5,7,9,10,12,11,5,12,4,11,4,12,2,3,20,9,8,7,11,7,6,8,6,17,7,12,12,7,9,13,6,8,9,17,14,10
0.39,7,15,8,4,14,18,10,15,19,12,9,14,18,14,16,13,15,21,15,20,16,9,19,12,6,9,12,14,8,10,11,8,10,2,11,4,11,13,8,14,9,7,9,8,6,9,11,7,16,10,10,6,16,11,12,8,10,11,14,17,7,14,12,15,11,13,12,17,10,9,12,13,8,15,15,13,9,13,9,12,9,4,9,8,6,8,12,6,15,9,9,13,13,8,11,10,2,14,6,9,8,7,8,6,7,8,3,9,7,11,10,10,9,12,8,12,6,12,9,13,15,14,16,5,10,9,11,6,19,10,13,21,11,15,12,11,15,14,12,17,13,9,14,9
0.4,20,21,17,15,12,14,17,11,11,13,11,13,10,12,12,15,16,16,15,16,7,12,7,14,15,14,14,16,13,17,14,18,16,14,17,18,18,19,15,16,15,20,17,17,18,18,16,14,15,16,16,21,15,6,15,17,15,13,9,8,9,12,18,10,16,13,11,17,14,16,18,17,18,14,19,15,16,19,18,11,22,21,18,15,18,22,19,13,17,15,15,18,12,15,18,17,18,18,17,18,18,21,21,24,19,18,24,16,20,21,21,16,20,13,21,14,24,18,19,17,10,5,15,18,18,20,16,15,13,13,15,14,18,14,18,8,13,17,16,11,13,13,11,17
0.41,11,23,12,14,18,25,17,19,21,16,21,21,24,18,21,16,17,17,13,16,22,17,22,20,17,22,19,16,17,17,19,21,11,15,12,11,19,21,19,18,18,16,15,14,16,12,11,17,20,24,12,18,25,16,19,19,13,22,24,24,19,22,19,17,18,21,16,14,20,15,14,19,16,23,16,13,9,15,10,14,9,12,8,16,11,15,17,13,16,11,12,11,16,9,12,10,15,13,12,16,11,11,14,8,9,15,9,10,15,10,12,16,12,16,8,14,12,15,6,16,17,16,20,15,15,13,17,19,22,16,10,20,16,18,16,16,20,17,13,20,18,16,18,17
0.42,14,20,16,21,25,26,25,26,23,25,24,26,22,21,22,24,24,21,20,17,22,21,25,17,23,24,24,21,20,18,24,21,25,23,22,14,16,24,18,20,16,17,17,14,18,17,16,16,23,24,21,20,22,25,24,24,21,25,18,25,19,16,19,22,17,21,15,17,21,14,14,21,19,22,21,18,15,15,13,15,10,14,14,19,12,13,16,18,17,12,9,11,17,18,14,16,13,13,16,18,12,11,16,12,15,12,14,18,16,15,15,18,13,14,15,11,12,15,12,16,22,25,26,22,20,19,18,14,27,19,18,21,14,21,19,19,17,17,16,18,23,16,19,17
0.43,20,24,21,22,25,28,23,26,26,24,24,24,27,25,24,21,20,24,22,18,21,22,26,23,27,26,28,25,25,24,23,22,23,24,20,19,24,23,24,18,19,17,13,21,20,21,20,22,25,27,24,23,25,27,23,25,24,23,24,27,20,25,24,23,18,18,19,23,18,24,25,24,18,23,20,15,17,19,17,13,18,21,19,24,15,20,23,21,19,18,14,20,16,18,18,12,17,22,20,22,17,21,20,18,18,21,14,21,19,23,20,22,13,20,15,16,14,21,17,20,24,20,26,20,22,22,21,19,21,24,19,22,19,25,22,22,15,19,23,22,21,20,24,23
0.44,20,25,19,24,28,28,28,27,28,24,28,29,28,28,27,22,22,23,25,19,22,22,25,24,27,26,28,29,26,29,27,27,24,29,26,27,24,25,23,20,23,18,18,18,24,24,24,19,27,27,25,22,28,27,26,27,28,28,28,29,28,23,24,26,24,18,24,19,27,24,20,23,19,29,21,17,15,21,15,19,17,24,19,22,22,16,26,20,19,13,23,19,20,18,25,21,22,22,25,23,23,26,23,22,20,16,21,26,23,24,21,16,21,22,21,16,14,19,21,20,28,26,25,24,20,20,21,22,24,25,21,24,21,26,23,25,24,23,22,21,23,25,27,18
0.45,24,25,25,26,29,26,27,28,26,28,29,27,26,27,27,26,24,21,28,27,21,23,23,29,28,29,27,29,29,27,25,29,24,29,26,24,27,27,27,22,24,21,25,26,21,23,25,21,30,29,28,28,29,28,27,26,28,26,28,28,25,27,27,27,28,25,26,27,26,23,25,26,24,28,27,15,18,19,21,15,25,25,25,22,19,22,22,19,24,19,25,21,20,20,22,16,19,23,28,24,24,18,25,24,21,22,21,25,22,20,19,22,21,22,22,20,15,24,18,25,26,22,25,16,22,21,21,18,26,25,20,27,22,27,28,22,23,23,25,22,20,23,24,18