Subject,'CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_0003','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_bagel','CN_AT_fun','CN_AT_fun','CN_AT_fun','CN_AT_fun','CN_AT_fun','CN_AT_fun','CN_AT_fun','CN_AT_fun','CN_AT_fun','CN_AT_fun','CN_AT_fun','CN_AT_fun','CN_AT_fun','CN_AT_fun','CN_AT_fun','CN_AT_fun','CN_AT_fun','CN_AT_fun','CN_AT_fun','CN_AT_fun','CN_AT_fun','CN_AT_oven','CN_AT_oven','CN_AT_oven','CN_AT_oven','CN_AT_oven','CN_AT_oven','CN_AT_oven','CN_AT_oven','CN_AT_oven','CN_AT_oven','CN_AT_oven','CN_AT_oven','CN_AT_oven','CN_AT_oven','CN_AT_oven','CN_AT_oven','CN_AT_oven','CN_AT_oven','CN_AT_oven','CN_AT_oven','CN_AT_oven','CN_AT_manos','CN_AT_manos','CN_AT_manos','CN_AT_manos','CN_AT_manos','CN_AT_manos','CN_AT_manos','CN_AT_manos','CN_AT_manos','CN_AT_manos','CN_AT_manos','CN_AT_manos','CN_AT_manos','CN_AT_manos','CN_AT_manos','CN_AT_manos','CN_AT_manos','CN_AT_manos','CN_AT_manos','CN_AT_manos','CN_AT_manos','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival','CN_AT_revival'
CoVarianceScalar,'NoVar','NoVar','NoVar','NoVar','NoVar','NoVar','LigVar','LigVar','LigVar','BkgVar','BkgVar','BkgVar','LigBkgVar','LigBkgVar','LigBkgVar','BkgVarGray','BkgVarGray','BkgVarGray','LigBkgVarGray','LigBkgVarGray','LigBkgVarGray','NoVar','NoVar','NoVar','NoVar','NoVar','NoVar','LigVar','LigVar','LigVar','BkgVar','BkgVar','BkgVar','LigBkgVar','LigBkgVar','LigBkgVar','BkgVarGray','BkgVarGray','BkgVarGray','LigBkgVarGray','LigBkgVarGray','LigBkgVarGray','NoVar','NoVar','NoVar','NoVar','NoVar','NoVar','LigVar','LigVar','LigVar','BkgVar','BkgVar','BkgVar','LigBkgVar','LigBkgVar','LigBkgVar','BkgVarGray','BkgVarGray','BkgVarGray','LigBkgVarGray','LigBkgVarGray','LigBkgVarGray','NoVar','NoVar','NoVar','NoVar','NoVar','NoVar','LigVar','LigVar','LigVar','BkgVar','BkgVar','BkgVar','LigBkgVar','LigBkgVar','LigBkgVar','BkgVarGray','BkgVarGray','BkgVarGray','LigBkgVarGray','LigBkgVarGray','LigBkgVarGray','NoVar','NoVar','NoVar','NoVar','NoVar','NoVar','LigVar','LigVar','LigVar','BkgVar','BkgVar','BkgVar','LigBkgVar','LigBkgVar','LigBkgVar','BkgVarGray','BkgVarGray','BkgVarGray','LigBkgVarGray','LigBkgVarGray','LigBkgVarGray','NoVar','NoVar','NoVar','NoVar','NoVar','NoVar','LigVar','LigVar','LigVar','BkgVar','BkgVar','BkgVar','LigBkgVar','LigBkgVar','LigBkgVar','BkgVarGray','BkgVarGray','BkgVarGray','LigBkgVarGray','LigBkgVarGray','LigBkgVarGray'
NTrials,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
0.35,0,1,5,6,2,3,4,3,6,9,6,3,6,10,6,9,9,3,8,10,9,1,3,1,2,0,2,14,2,5,2,1,2,4,7,5,3,1,3,2,5,5,1,0,1,2,1,4,7,5,6,0,2,2,2,4,7,2,2,0,5,7,8,0,3,1,3,4,12,4,4,5,2,8,5,4,8,5,7,7,9,6,9,6,3,3,1,0,0,0,6,6,3,3,3,4,12,11,10,5,4,5,7,7,3,4,7,2,1,3,3,6,5,8,16,2,3,7,7,7,4,3,5,8,9,4
0.36,4,3,3,8,5,0,7,9,10,11,6,8,9,11,9,18,8,6,15,7,12,0,1,5,1,1,2,9,5,9,5,0,3,3,2,4,1,5,6,5,5,7,1,1,1,4,3,7,7,3,4,2,7,7,4,2,3,4,4,5,4,8,8,0,0,0,2,5,9,6,6,7,8,5,5,7,14,6,8,9,12,11,8,6,1,5,4,2,2,0,7,11,3,6,7,3,10,14,10,7,2,5,7,8,3,6,9,3,4,2,8,10,7,8,9,1,10,14,7,8,10,10,10,5,6,4
0.37,6,3,7,9,4,2,16,12,8,9,8,9,7,10,10,12,12,8,7,15,14,1,4,0,3,6,2,12,7,6,6,0,10,6,7,4,4,5,4,7,7,7,3,2,4,4,6,5,8,9,10,4,7,7,6,8,6,6,4,12,9,6,9,4,3,2,8,5,16,4,8,11,8,10,9,5,14,11,12,9,5,4,9,5,6,1,5,2,1,1,3,13,7,8,10,8,11,10,10,9,10,4,5,12,9,3,5,6,8,6,8,13,10,15,11,8,14,12,9,8,7,8,6,10,6,11
0.38,5,6,13,15,10,2,7,10,13,13,15,13,7,10,12,15,12,11,14,19,19,3,5,11,6,9,10,14,9,8,12,5,7,11,9,7,2,10,4,7,4,11,8,4,2,14,8,15,10,12,15,7,1,4,9,9,7,8,6,8,8,8,10,9,8,3,6,8,12,6,10,9,13,10,11,13,9,12,8,7,9,13,14,7,14,7,8,8,1,4,8,13,9,9,7,13,11,10,10,3,12,5,17,11,9,3,8,4,8,8,11,15,14,13,12,6,11,12,8,14,13,10,10,11,13,10
0.39,6,5,16,12,9,6,12,13,15,13,15,11,14,15,10,16,16,12,17,13,13,10,12,8,10,10,9,6,5,5,10,6,8,8,9,10,8,12,13,8,4,9,8,3,7,14,11,10,9,10,10,12,5,6,8,11,11,10,10,16,18,13,11,5,8,5,6,10,12,13,12,6,15,12,15,17,15,9,10,11,15,14,11,16,11,5,12,11,6,7,11,17,7,14,11,17,12,14,12,7,10,13,9,16,10,8,13,11,12,8,9,15,9,15,15,13,18,11,15,16,11,9,14,12,9,13
0.4,16,15,16,11,9,26,12,16,20,12,12,21,12,11,16,9,18,17,11,8,11,18,19,16,13,19,21,14,19,19,16,18,19,14,19,17,22,17,17,14,15,18,15,20,21,12,20,12,18,15,15,18,26,21,23,23,16,15,26,15,17,17,18,20,15,20,20,15,18,16,18,19,13,15,16,10,17,13,13,18,19,18,13,17,16,14,16,14,19,22,18,16,18,17,13,18,12,17,16,16,12,18,14,16,19,20,11,18,11,19,14,14,12,13,5,13,11,10,19,17,9,16,8,18,13,19
0.41,21,13,20,16,19,13,15,13,20,13,16,15,18,18,18,21,17,18,21,20,14,16,20,15,20,23,18,13,7,15,19,14,18,15,13,16,15,16,13,9,18,14,13,13,10,16,20,22,17,17,17,16,11,17,11,20,18,16,12,12,16,17,11,16,11,6,8,14,15,13,14,10,14,18,16,14,17,20,18,10,16,14,14,14,9,11,16,18,18,12,16,15,12,22,17,19,18,23,19,13,18,16,14,13,12,14,16,14,20,13,13,23,16,14,22,15,19,18,16,21,19,15,16,11,15,12
0.42,20,20,20,26,20,17,18,18,19,20,17,22,16,16,19,26,23,23,21,18,16,23,25,20,15,24,19,17,10,17,19,14,17,18,13,14,14,20,18,12,11,12,17,15,17,19,19,25,21,18,18,17,13,14,13,16,16,12,9,18,23,11,19,13,15,18,11,15,14,12,14,16,22,19,11,17,14,15,13,14,12,12,11,17,14,16,23,18,21,14,17,15,13,26,20,23,20,19,21,14,18,16,14,17,14,16,21,19,20,21,19,22,19,18,22,17,23,20,20,21,19,16,21,17,14,19
0.43,25,19,23,25,22,19,21,20,18,17,23,21,20,19,21,27,26,24,21,20,23,26,23,23,22,23,20,16,20,15,26,17,16,13,22,18,20,24,19,16,14,18,22,17,21,28,22,29,17,19,21,24,12,20,18,21,19,19,14,22,17,18,19,18,18,19,13,17,11,19,20,14,16,20,17,15,18,21,16,19,18,16,14,15,18,19,20,22,20,16,20,19,20,20,19,25,21,15,20,16,18,21,20,14,11,20,21,17,25,20,14,24,23,19,25,17,21,20,20,17,22,24,20,18,16,15
0.44,25,19,25,27,27,22,24,19,25,24,25,22,18,19,21,24,25,22,24,21,20,29,23,29,28,27,23,17,23,19,22,20,13,14,12,14,19,25,21,15,14,15,23,24,21,25,27,26,22,23,22,22,17,17,18,17,20,23,16,23,21,19,21,22,22,19,18,19,14,18,23,17,24,19,17,14,20,20,15,21,15,18,22,19,19,16,26,27,25,16,20,22,22,24,25,24,13,20,19,15,24,20,17,21,11,22,25,24,26,21,20,24,24,23,27,24,26,25,19,18,22,24,23,21,20,20
0.45,27,23,22,28,28,28,23,25,19,27,26,24,16,18,21,27,24,22,25,23,20,27,27,27,27,27,27,20,19,21,27,20,21,18,18,17,24,21,23,18,17,22,25,27,25,28,27,27,22,23,25,26,15,23,18,18,21,25,13,20,24,20,25,23,22,22,17,24,23,16,16,14,22,22,20,21,20,20,25,15,21,18,11,15,23,21,21,26,23,16,20,25,18,26,26,25,19,22,20,18,26,20,15,22,11,20,25,25,26,25,18,25,22,21,26,22,25,23,23,20,26,23,23,20,19,19